,name,link
0,"Zabaglia, Niccola",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=11630
1,"Zaccone, Fabian",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=34202
2,"Zadkine, Ossip",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=3475
3,"Zaech, Bernhard",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=25135
4,"Zagar, Jacob",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=2298
5,"Zagroba, Idalia",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=23988
6,"Zaidenberg, A.",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=8232
7,"Zaidenberg, Arthur",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=34154
8,"Zaisinger, Matthäus",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=4910
9,"Zajac, Jack",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=3450
10,"Zak, Eugène",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=1986
11,"Zakharov, Gurii Fillipovich",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=3451
12,"Zakowortny, Igor",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=20099
13,"Zalce, Alfredo",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=3452
14,"Zalopany, Michele",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=34309
15,"Zammiello, Craig",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=27191
16,"Zammitt, Norman",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=5846
17,"Zampieri, Domenico",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=3941
18,"Zampieri, called Domenichino, Domenico",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=3941
19,"Zanartú, Enrique Antunez",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=3453
20,"Zanchi, Antonio",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=35173
21,"Zanetti, Anton Maria",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=11133
22,"Zanetti Borzino, Leopoldina",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=3455
23,"Zanetti I, Antonio Maria, conte",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=3454
24,"Zanguidi, Jacopo",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=961
25,"Zanini, Giuseppe",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=11597
26,"Zanini-Viola, Giuseppe",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=11597
27,"Zanotti, Giampietro",https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=11631
28,Zao Wou-Ki,https://web.archive.org/web/20121007172955/http://www.nga.gov/cgi-bin/tsearch?artistid=3427
29,"Zasinger, Matthäus",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=4910
30,"Zausch, W.W.",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=8233
31,"Zawadzka, Ewa",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=24008
32,"Zawisa, Bernard",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=34155
33,"Zayas, Marius de",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=9371
34,"Zazeela, Marian",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=10413
35,"Zec, Safet",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=29969
36,Zeeman,https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3456
37,"Zeeman, Reinier",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3456
38,"Zeeman, Reinier Nooms, called",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3456
39,"Zehender, Gabriel",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=30199
40,"Zein, Kurt",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=20160
41,"Zeissig, Johann Eleazar",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=5459
42,"Zelenko, Karel",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3457
43,"Zeliff, Amzi Emmons",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=1987
44,"Zeller, Daniel",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=35687
45,"Zeman, Jakub",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=31402
46,"Zenatá, Kamila",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=24890
47,"Zenone, Vincent",https://web.archive.org/web/20121010201024/http://www.nga.gov/cgi-bin/tsearch?artistid=3458
